word,stem,predicted,correct
ujapoadhinia,adhini,adhin,False
ajapoadhinia,adhini,adhin,False
tujapoadhinia,adhini,adhin,False
mjapoadhinia,adhini,adhin,False
wajapoadhinia,adhini,adhin,False
nisipoadhinia,adhini,adhin,False
usipoadhinia,adhini,adhin,False
asipoadhinia,adhini,adhin,False
tusipoadhinia,adhini,adhin,False
msipoadhinia,adhini,adhin,False
wasipoadhinia,adhini,adhin,False
nikiadhinia,adhini,adhin,False
ukiadhinia,adhini,adhin,False
akiadhinia,adhini,adhin,False
tukiadhinia,adhini,adhin,False
mkiadhinia,adhini,adhin,False
niliyaadhinia,adhini,adhin,False
uliyaadhinia,adhini,adhin,False
aliyaadhinia,adhini,adhin,False
tuliyaadhinia,adhini,adhin,False
mliyaadhinia,adhini,adhin,False
waliyaadhinia,adhini,adhin,False
wakiadhinia,adhini,adhin,False
nilichoadhinia,adhini,adhin,False
ulichoadhinia,adhini,adhin,False
alichoadhinia,adhini,adhin,False
tulichoadhinia,adhini,adhin,False
mlichoadhinia,adhini,adhin,False
walichoadhinia,adhini,adhin,False
yalioadhinia,adhini,adhin,False
kilichoadhinia,adhini,adhin,False
zilizoadhinia,adhini,adhin,False
inaadhinia,adhini,adhin,False
itaadhinia,adhini,adhin,False
iliadhinia,adhini,adhin,False
imeadhinia,adhini,adhin,False
ingeadhinia,adhini,adhin,False
ingaliadhinia,adhini,adhin,False
iliyeadhinia,adhini,adhin,False
ilioadhinia,adhini,adhin,False
iliyoadhinia,adhini,adhin,False
ilipoadhinia,adhini,adhin,False
ikiadhinia,adhini,adhin,False
ilichoadhinia,adhini,adhin,False
zinaadhinia,adhini,adhin,False
zitaadhinia,adhini,adhin,False
ziliadhinia,adhini,adhin,False
zimeadhinia,adhini,adhin,False
zingeadhinia,adhini,adhin,False
zingaliadhinia,adhini,adhin,False
ziliyeadhinia,adhini,adhin,False
zilioadhinia,adhini,adhin,False
zilipoadhinia,adhini,adhin,False
zikiadhinia,adhini,adhin,False
yanaadhinia,adhini,adhin,False
yataadhinia,adhini,adhin,False
yaliadhinia,adhini,adhin,False
yameadhinia,adhini,adhin,False
yangeadhinia,adhini,adhin,False
yangaliadhinia,adhini,adhin,False
yaliyeadhinia,adhini,adhin,False
yaliyoadhinia,adhini,adhin,False
yalipoadhinia,adhini,adhin,False
yakiadhinia,adhini,adhin,False
lililoadhinia,adhini,adhin,False
aliyoadhinia,adhini,adhin,False
liliadhinia,adhini,adhin,False
ninayeadhinia,adhini,adhin,False
nitayeadhinia,adhini,adhin,False
tunayeadhinia,adhini,adhin,False
tutayeadhinia,adhini,adhin,False
unayeadhinia,adhini,adhin,False
utayeadhinia,adhini,adhin,False
mnayeadhinia,adhini,adhin,False
mtayeadhinia,adhini,adhin,False
anayeadhinia,adhini,adhin,False
atayeadhinia,adhini,adhin,False
wanayeadhinia,adhini,adhin,False
watayeadhinia,adhini,adhin,False
adhirika,adhiri,adhir,False
niliadhirika,adhiri,adhir,False
ninaadhirika,adhiri,adhir,False
nimeadhirika,adhiri,adhir,False
nitaadhirika,adhiri,adhir,False
tuliadhirika,adhiri,adhir,False
tunaadhirika,adhiri,adhir,False
tumeadhirika,adhiri,adhir,False
tutaadhirika,adhiri,adhir,False
uliadhirika,adhiri,adhir,False
unaadhirika,adhiri,adhir,False
umeadhirika,adhiri,adhir,False
utaadhirika,adhiri,adhir,False
mliadhirika,adhiri,adhir,False
mnaadhirika,adhiri,adhir,False
mmeadhirika,adhiri,adhir,False
mtaadhirika,adhiri,adhir,False
aliadhirika,adhiri,adhir,False
anaadhirika,adhiri,adhir,False
ameadhirika,adhiri,adhir,False
ataadhirika,adhiri,adhir,False
waliadhirika,adhiri,adhir,False
wanaadhirika,adhiri,adhir,False
wameadhirika,adhiri,adhir,False
wataadhirika,adhiri,adhir,False
huadhirika,adhiri,adhir,False
kuadhirika,adhiri,adhir,False
kumuadhirika,adhiri,adhir,False
kuwaadhirika,adhiri,adhir,False
ningeadhirika,adhiri,adhir,False
ungeadhirika,adhiri,adhir,False
angeadhirika,adhiri,adhir,False
tungeadhirika,adhiri,adhir,False
mngeadhirika,adhiri,adhir,False
wangeadhirika,adhiri,adhir,False
ningaliadhirika,adhiri,adhir,False
ungaliadhirika,adhiri,adhir,False
angaliadhirika,adhiri,adhir,False
tungaliadhirika,adhiri,adhir,False
mngaliadhirika,adhiri,adhir,False
wangaliadhirika,adhiri,adhir,False
niliyeadhirika,adhiri,adhir,False
uliyeadhirika,adhiri,adhir,False
aliyeadhirika,adhiri,adhir,False
tuliyeadhirika,adhiri,adhir,False
mliyeadhirika,adhiri,adhir,False
waliyeadhirika,adhiri,adhir,False
nilioadhirika,adhiri,adhir,False
ulioadhirika,adhiri,adhir,False
alioadhirika,adhiri,adhir,False
tulioadhirika,adhiri,adhir,False
mlioadhirika,adhiri,adhir,False
walioadhirika,adhiri,adhir,False
nilipoadhirika,adhiri,adhir,False
ulipoadhirika,adhiri,adhir,False
alipoadhirika,adhiri,adhir,False
tulipoadhirika,adhiri,adhir,False
mlipoadhirika,adhiri,adhir,False
walipoadhirika,adhiri,adhir,False
nijapoadhirika,adhiri,adhir,False
ujapoadhirika,adhiri,adhir,False
ajapoadhirika,adhiri,adhir,False
tujapoadhirika,adhiri,adhir,False
mjapoadhirika,adhiri,adhir,False
wajapoadhirika,adhiri,adhir,False
nisipoadhirika,adhiri,adhir,False
usipoadhirika,adhiri,adhir,False
asipoadhirika,adhiri,adhir,False
tusipoadhirika,adhiri,adhir,False
msipoadhirika,adhiri,adhir,False
wasipoadhirika,adhiri,adhir,False
nikiadhirika,adhiri,adhir,False
ukiadhirika,adhiri,adhir,False
akiadhirika,adhiri,adhir,False
tukiadhirika,adhiri,adhir,False
mkiadhirika,adhiri,adhir,False
niliyaadhirika,adhiri,adhir,False
uliyaadhirika,adhiri,adhir,False
aliyaadhirika,adhiri,adhir,False
tuliyaadhirika,adhiri,adhir,False
mliyaadhirika,adhiri,adhir,False
waliyaadhirika,adhiri,adhir,False
wakiadhirika,adhiri,adhir,False
nilichoadhirika,adhiri,adhir,False
ulichoadhirika,adhiri,adhir,False
alichoadhirika,adhiri,adhir,False
tulichoadhirika,adhiri,adhir,False
mlichoadhirika,adhiri,adhir,False
walichoadhirika,adhiri,adhir,False
yalioadhirika,adhiri,adhir,False
kilichoadhirika,adhiri,adhir,False
zilizoadhirika,adhiri,adhir,False
inaadhirika,adhiri,adhir,False
itaadhirika,adhiri,adhir,False
iliadhirika,adhiri,adhir,False
imeadhirika,adhiri,adhir,False
ingeadhirika,adhiri,adhir,False
ingaliadhirika,adhiri,adhir,False
iliyeadhirika,adhiri,adhir,False
ilioadhirika,adhiri,adhir,False
iliyoadhirika,adhiri,adhir,False
ilipoadhirika,adhiri,adhir,False
ikiadhirika,adhiri,adhir,False
ilichoadhirika,adhiri,adhir,False
zinaadhirika,adhiri,adhir,False
zitaadhirika,adhiri,adhir,False
ziliadhirika,adhiri,adhir,False
zimeadhirika,adhiri,adhir,False
zingeadhirika,adhiri,adhir,False
zingaliadhirika,adhiri,adhir,False
ziliyeadhirika,adhiri,adhir,False
zilioadhirika,adhiri,adhir,False
zilipoadhirika,adhiri,adhir,False
zikiadhirika,adhiri,adhir,False
yanaadhirika,adhiri,adhir,False
yataadhirika,adhiri,adhir,False
yaliadhirika,adhiri,adhir,False
yameadhirika,adhiri,adhir,False
yangeadhirika,adhiri,adhir,False
yangaliadhirika,adhiri,adhir,False
yaliyeadhirika,adhiri,adhir,False
yaliyoadhirika,adhiri,adhir,False
yalipoadhirika,adhiri,adhir,False
yakiadhirika,adhiri,adhir,False
lililoadhirika,adhiri,adhir,False
aliyoadhirika,adhiri,adhir,False
liliadhirika,adhiri,adhir,False
ninayeadhirika,adhiri,adhir,False
nitayeadhirika,adhiri,adhir,False
tunayeadhirika,adhiri,adhir,False
tutayeadhirika,adhiri,adhir,False
unayeadhirika,adhiri,adhir,False
utayeadhirika,adhiri,adhir,False
mnayeadhirika,adhiri,adhir,False
mtayeadhirika,adhiri,adhir,False
anayeadhirika,adhiri,adhir,False
atayeadhirika,adhiri,adhir,False
wanayeadhirika,adhiri,adhir,False
watayeadhirika,adhiri,adhir,False
adili,adili,adil,False
niliadili,adili,adil,False
ninaadili,adili,adil,False
nimeadili,adili,adil,False
nitaadili,adili,adil,False
tuliadili,adili,adil,False
tunaadili,adili,adil,False
tumeadili,adili,adil,False
tutaadili,adili,adil,False
uliadili,adili,adil,False
unaadili,adili,adil,False
umeadili,adili,adil,False
utaadili,adili,adil,False
mliadili,adili,adil,False
mnaadili,adili,adil,False
mmeadili,adili,adil,False
mtaadili,adili,adil,False
aliadili,adili,adil,False
anaadili,adili,adil,False
ameadili,adili,adil,False
ataadili,adili,adil,False
waliadili,adili,adil,False
wanaadili,adili,adil,False
wameadili,adili,adil,False
wataadili,adili,adil,False
huadili,adili,adil,False
kuadili,adili,adil,False
kumuadili,adili,adil,False
kuwaadili,adili,adil,False
ningeadili,adili,adil,False
ungeadili,adili,adil,False
angeadili,adili,adil,False
tungeadili,adili,adil,False
mngeadili,adili,adil,False
wangeadili,adili,adil,False
ningaliadili,adili,adil,False
ungaliadili,adili,adil,False
angaliadili,adili,adil,False
tungaliadili,adili,adil,False
mngaliadili,adili,adil,False
wangaliadili,adili,adil,False
niliyeadili,adili,adil,False
uliyeadili,adili,adil,False
aliyeadili,adili,adil,False
tuliyeadili,adili,adil,False
mliyeadili,adili,adil,False
waliyeadili,adili,adil,False
nilioadili,adili,adil,False
ulioadili,adili,adil,False
alioadili,adili,adil,False
tulioadili,adili,adil,False
mlioadili,adili,adil,False
walioadili,adili,adil,False
nilipoadili,adili,adil,False
ulipoadili,adili,adil,False
alipoadili,adili,adil,False
tulipoadili,adili,adil,False
mlipoadili,adili,adil,False
walipoadili,adili,adil,False
nijapoadili,adili,adil,False
ujapoadili,adili,adil,False
ajapoadili,adili,adil,False
tujapoadili,adili,adil,False
mjapoadili,adili,adil,False
wajapoadili,adili,adil,False
nisipoadili,adili,adil,False
usipoadili,adili,adil,False
asipoadili,adili,adil,False
tusipoadili,adili,adil,False
msipoadili,adili,adil,False
wasipoadili,adili,adil,False
nikiadili,adili,adil,False
ukiadili,adili,adil,False
akiadili,adili,adil,False
tukiadili,adili,adil,False
mkiadili,adili,adil,False
niliyaadili,adili,adil,False
uliyaadili,adili,adil,False
aliyaadili,adili,adil,False
tuliyaadili,adili,adil,False
mliyaadili,adili,adil,False
waliyaadili,adili,adil,False
wakiadili,adili,adil,False
nilichoadili,adili,adil,False
ulichoadili,adili,adil,False
alichoadili,adili,adil,False
tulichoadili,adili,adil,False
mlichoadili,adili,adil,False
walichoadili,adili,adil,False
yalioadili,adili,adil,False
kilichoadili,adili,adil,False
zilizoadili,adili,adil,False
inaadili,adili,adil,False
itaadili,adili,adil,False
iliadili,adili,adil,False
imeadili,adili,adil,False
ingeadili,adili,adil,False
ingaliadili,adili,adil,False
iliyeadili,adili,adil,False
ilioadili,adili,adil,False
iliyoadili,adili,adil,False
ilipoadili,adili,adil,False
ikiadili,adili,adil,False
ilichoadili,adili,adil,False
zinaadili,adili,adil,False
zitaadili,adili,adil,False
ziliadili,adili,adil,False
zimeadili,adili,adil,False
zingeadili,adili,adil,False
zingaliadili,adili,adil,False
ziliyeadili,adili,adil,False
zilioadili,adili,adil,False
zilipoadili,adili,adil,False
zikiadili,adili,adil,False
yanaadili,adili,adil,False
yataadili,adili,adil,False
yaliadili,adili,adil,False
yameadili,adili,adil,False
yangeadili,adili,adil,False
yangaliadili,adili,adil,False
yaliyeadili,adili,adil,False
yaliyoadili,adili,adil,False
yalipoadili,adili,adil,False
yakiadili,adili,adil,False
lililoadili,adili,adil,False
aliyoadili,adili,adil,False
liliadili,adili,adil,False
ninayeadili,adili,adil,False
nitayeadili,adili,adil,False
tunayeadili,adili,adil,False
tutayeadili,adili,adil,False
unayeadili,adili,adil,False
utayeadili,adili,adil,False
mnayeadili,adili,adil,False
mtayeadili,adili,adil,False
anayeadili,adili,adil,False
atayeadili,adili,adil,False
wanayeadili,adili,adil,False
watayeadili,adili,adil,False
adilisha,adili,adil,False
niliadilisha,adili,adil,False
ninaadilisha,adili,adil,False
nimeadilisha,adili,adil,False
nitaadilisha,adili,adil,False
tuliadilisha,adili,adil,False
tunaadilisha,adili,adil,False
tumeadilisha,adili,adil,False
tutaadilisha,adili,adil,False
uliadilisha,adili,adil,False
unaadilisha,adili,adil,False
umeadilisha,adili,adil,False
utaadilisha,adili,adil,False
mliadilisha,adili,adil,False
mnaadilisha,adili,adil,False
mmeadilisha,adili,adil,False
mtaadilisha,adili,adil,False
aliadilisha,adili,adil,False
anaadilisha,adili,adil,False
ameadilisha,adili,adil,False
ataadilisha,adili,adil,False
waliadilisha,adili,adil,False
wanaadilisha,adili,adil,False
wameadilisha,adili,adil,False
wataadilisha,adili,adil,False
huadilisha,adili,adil,False
kuadilisha,adili,adil,False
kumuadilisha,adili,adil,False
kuwaadilisha,adili,adil,False
ningeadilisha,adili,adil,False
ungeadilisha,adili,adil,False
angeadilisha,adili,adil,False
tungeadilisha,adili,adil,False
mngeadilisha,adili,adil,False
wangeadilisha,adili,adil,False
ningaliadilisha,adili,adil,False
ungaliadilisha,adili,adil,False
angaliadilisha,adili,adil,False
tungaliadilisha,adili,adil,False
mngaliadilisha,adili,adil,False
wangaliadilisha,adili,adil,False
niliyeadilisha,adili,adil,False
uliyeadilisha,adili,adil,False
aliyeadilisha,adili,adil,False
tuliyeadilisha,adili,adil,False
mliyeadilisha,adili,adil,False
waliyeadilisha,adili,adil,False
nilioadilisha,adili,adil,False
ulioadilisha,adili,adil,False
alioadilisha,adili,adil,False
tulioadilisha,adili,adil,False
mlioadilisha,adili,adil,False
walioadilisha,adili,adil,False
nilipoadilisha,adili,adil,False
ulipoadilisha,adili,adil,False
alipoadilisha,adili,adil,False
tulipoadilisha,adili,adil,False
mlipoadilisha,adili,adil,False
walipoadilisha,adili,adil,False
nijapoadilisha,adili,adil,False
ujapoadilisha,adili,adil,False
ajapoadilisha,adili,adil,False
tujapoadilisha,adili,adil,False
mjapoadilisha,adili,adil,False
wajapoadilisha,adili,adil,False
nisipoadilisha,adili,adil,False
usipoadilisha,adili,adil,False
asipoadilisha,adili,adil,False
tusipoadilisha,adili,adil,False
msipoadilisha,adili,adil,False
wasipoadilisha,adili,adil,False
nikiadilisha,adili,adil,False
ukiadilisha,adili,adil,False
akiadilisha,adili,adil,False
tukiadilisha,adili,adil,False
mkiadilisha,adili,adil,False
niliyaadilisha,adili,adil,False
uliyaadilisha,adili,adil,False
aliyaadilisha,adili,adil,False
tuliyaadilisha,adili,adil,False
mliyaadilisha,adili,adil,False
waliyaadilisha,adili,adil,False
wakiadilisha,adili,adil,False
nilichoadilisha,adili,adil,False
ulichoadilisha,adili,adil,False
alichoadilisha,adili,adil,False
tulichoadilisha,adili,adil,False
mlichoadilisha,adili,adil,False
walichoadilisha,adili,adil,False
yalioadilisha,adili,adil,False
kilichoadilisha,adili,adil,False
zilizoadilisha,adili,adil,False
inaadilisha,adili,adil,False
itaadilisha,adili,adil,False
iliadilisha,adili,adil,False
imeadilisha,adili,adil,False
ingeadilisha,adili,adil,False
ingaliadilisha,adili,adil,False
iliyeadilisha,adili,adil,False
ilioadilisha,adili,adil,False
iliyoadilisha,adili,adil,False
ilipoadilisha,adili,adil,False
ikiadilisha,adili,adil,False
ilichoadilisha,adili,adil,False
zinaadilisha,adili,adil,False
zitaadilisha,adili,adil,False
ziliadilisha,adili,adil,False
zimeadilisha,adili,adil,False
zingeadilisha,adili,adil,False
zingaliadilisha,adili,adil,False
ziliyeadilisha,adili,adil,False
zilioadilisha,adili,adil,False
zilipoadilisha,adili,adil,False
zikiadilisha,adili,adil,False
yanaadilisha,adili,adil,False
yataadilisha,adili,adil,False
yaliadilisha,adili,adil,False
yameadilisha,adili,adil,False
yangeadilisha,adili,adil,False
yangaliadilisha,adili,adil,False
yaliyeadilisha,adili,adil,False
yaliyoadilisha,adili,adil,False
yalipoadilisha,adili,adil,False
yakiadilisha,adili,adil,False
lililoadilisha,adili,adil,False
aliyoadilisha,adili,adil,False
liliadilisha,adili,adil,False
ninayeadilisha,adili,adil,False
nitayeadilisha,adili,adil,False
tunayeadilisha,adili,adil,False
tutayeadilisha,adili,adil,False
unayeadilisha,adili,adil,False
utayeadilisha,adili,adil,False
mnayeadilisha,adili,adil,False
mtayeadilisha,adili,adil,False
anayeadilisha,adili,adil,False
atayeadilisha,adili,adil,False
wanayeadilisha,adili,adil,False
watayeadilisha,adili,adil,False
afikiana,afiki,afik,False
niliafikiana,afiki,afik,False
ninaafikiana,afiki,afik,False
nimeafikiana,afiki,afik,False
nitaafikiana,afiki,afik,False
tuliafikiana,afiki,afik,False
tunaafikiana,afiki,afik,False
tumeafikiana,afiki,afik,False
tutaafikiana,afiki,afik,False
uliafikiana,afiki,afik,False
unaafikiana,afiki,afik,False
umeafikiana,afiki,afik,False
utaafikiana,afiki,afik,False
mliafikiana,afiki,afik,False
mnaafikiana,afiki,afik,False
mmeafikiana,afiki,afik,False
mtaafikiana,afiki,afik,False
aliafikiana,afiki,afik,False
anaafikiana,afiki,afik,False
ameafikiana,afiki,afik,False
ataafikiana,afiki,afik,False
waliafikiana,afiki,afik,False
wanaafikiana,afiki,afik,False
wameafikiana,afiki,afik,False
wataafikiana,afiki,afik,False
huafikiana,afiki,afik,False
kuafikiana,afiki,afik,False
kumuafikiana,afiki,afik,False
kuwaafikiana,afiki,afik,False
ningeafikiana,afiki,afik,False
ungeafikiana,afiki,afik,False
angeafikiana,afiki,afik,False
tungeafikiana,afiki,afik,False
mngeafikiana,afiki,afik,False
wangeafikiana,afiki,afik,False
ningaliafikiana,afiki,afik,False
ungaliafikiana,afiki,afik,False
angaliafikiana,afiki,afik,False
tungaliafikiana,afiki,afik,False
mngaliafikiana,afiki,afik,False
wangaliafikiana,afiki,afik,False
niliyeafikiana,afiki,afik,False
uliyeafikiana,afiki,afik,False
aliyeafikiana,afiki,afik,False
tuliyeafikiana,afiki,afik,False
mliyeafikiana,afiki,afik,False
waliyeafikiana,afiki,afik,False
nilioafikiana,afiki,afik,False
ulioafikiana,afiki,afik,False
alioafikiana,afiki,afik,False
tulioafikiana,afiki,afik,False
mlioafikiana,afiki,afik,False
walioafikiana,afiki,afik,False
nilipoafikiana,afiki,afik,False
ulipoafikiana,afiki,afik,False
alipoafikiana,afiki,afik,False
tulipoafikiana,afiki,afik,False
mlipoafikiana,afiki,afik,False
walipoafikiana,afiki,afik,False
nijapoafikiana,afiki,afik,False
ujapoafikiana,afiki,afik,False
ajapoafikiana,afiki,afik,False
tujapoafikiana,afiki,afik,False
mjapoafikiana,afiki,afik,False
wajapoafikiana,afiki,afik,False
nisipoafikiana,afiki,afik,False
usipoafikiana,afiki,afik,False
asipoafikiana,afiki,afik,False
tusipoafikiana,afiki,afik,False
msipoafikiana,afiki,afik,False
wasipoafikiana,afiki,afik,False
nikiafikiana,afiki,afik,False
ukiafikiana,afiki,afik,False
akiafikiana,afiki,afik,False
tukiafikiana,afiki,afik,False
mkiafikiana,afiki,afik,False
niliyaafikiana,afiki,afik,False
uliyaafikiana,afiki,afik,False
aliyaafikiana,afiki,afik,False
tuliyaafikiana,afiki,afik,False
mliyaafikiana,afiki,afik,False
waliyaafikiana,afiki,afik,False
wakiafikiana,afiki,afik,False
nilichoafikiana,afiki,afik,False
ulichoafikiana,afiki,afik,False
alichoafikiana,afiki,afik,False
tulichoafikiana,afiki,afik,False
mlichoafikiana,afiki,afik,False
walichoafikiana,afiki,afik,False
yalioafikiana,afiki,afik,False
kilichoafikiana,afiki,afik,False
zilizoafikiana,afiki,afik,False
inaafikiana,afiki,afik,False
itaafikiana,afiki,afik,False
iliafikiana,afiki,afik,False
imeafikiana,afiki,afik,False
ingeafikiana,afiki,afik,False
ingaliafikiana,afiki,afik,False
iliyeafikiana,afiki,afik,False
ilioafikiana,afiki,afik,False
iliyoafikiana,afiki,afik,False
ilipoafikiana,afiki,afik,False
ikiafikiana,afiki,afik,False
ilichoafikiana,afiki,afik,False
zinaafikiana,afiki,afik,False
zitaafikiana,afiki,afik,False
ziliafikiana,afiki,afik,False
zimeafikiana,afiki,afik,False
zingeafikiana,afiki,afik,False
zingaliafikiana,afiki,afik,False
ziliyeafikiana,afiki,afik,False
zilioafikiana,afiki,afik,False
zilipoafikiana,afiki,afik,False
zikiafikiana,afiki,afik,False
yanaafikiana,afiki,afik,False
yataafikiana,afiki,afik,False
yaliafikiana,afiki,afik,False
yameafikiana,afiki,afik,False
yangeafikiana,afiki,afik,False
yangaliafikiana,afiki,afik,False
yaliyeafikiana,afiki,afik,False
yaliyoafikiana,afiki,afik,False
yalipoafikiana,afiki,afik,False
yakiafikiana,afiki,afik,False
lililoafikiana,afiki,afik,False
aliyoafikiana,afiki,afik,False
liliafikiana,afiki,afik,False
ninayeafikiana,afiki,afik,False
nitayeafikiana,afiki,afik,False
tunayeafikiana,afiki,afik,False
tutayeafikiana,afiki,afik,False
unayeafikiana,afiki,afik,False
utayeafikiana,afiki,afik,False
mnayeafikiana,afiki,afik,False
mtayeafikiana,afiki,afik,False
anayeafikiana,afiki,afik,False
atayeafikiana,afiki,afik,False
wanayeafikiana,afiki,afik,False
watayeafikiana,afiki,afik,False
aga,ag,aga,False
niliaga,ag,niliaga,False
ninaaga,ag,ninaaga,False
nimeaga,ag,nimeaga,False
nitaaga,ag,nitaaga,False
tuliaga,ag,tuliaga,False
tunaaga,ag,tunaaga,False
tumeaga,ag,tumeaga,False
tutaaga,ag,tutaaga,False
uliaga,ag,uliaga,False
unaaga,ag,unaaga,False
umeaga,ag,umeaga,False
utaaga,ag,utaaga,False
mliaga,ag,mliaga,False
mnaaga,ag,mnaaga,False
mmeaga,ag,mmeaga,False
mtaaga,ag,mtaaga,False
aliaga,ag,aliaga,False
anaaga,ag,anaaga,False
ameaga,ag,ameaga,False
ataaga,ag,ataaga,False
waliaga,ag,waliaga,False
wanaaga,ag,wanaaga,False
wameaga,ag,wameaga,False
wataaga,ag,wataaga,False
huaga,ag,huaga,False
kuaga,ag,kuaga,False
kumuaga,ag,kumuaga,False
kuwaaga,ag,kuwaaga,False
ningeaga,ag,ningeaga,False
ungeaga,ag,ungeaga,False
angeaga,ag,angeaga,False
tungeaga,ag,tungeaga,False
mngeaga,ag,mngeaga,False
wangeaga,ag,wangeaga,False
ningaliaga,ag,ningaliaga,False
ungaliaga,ag,ungaliaga,False
angaliaga,ag,angaliaga,False
tungaliaga,ag,tungaliaga,False
mngaliaga,ag,mngaliaga,False
wangaliaga,ag,wangaliaga,False
niliyeaga,ag,niliyeaga,False
uliyeaga,ag,uliyeaga,False
aliyeaga,ag,aliyeaga,False
tuliyeaga,ag,tuliyeaga,False
mliyeaga,ag,mliyeaga,False
waliyeaga,ag,waliyeaga,False
nilioaga,ag,nilioaga,False
ulioaga,ag,ulioaga,False
alioaga,ag,alioaga,False
tulioaga,ag,tulioaga,False
mlioaga,ag,mlioaga,False
walioaga,ag,walioaga,False
nilipoaga,ag,nilipoaga,False
ulipoaga,ag,ulipoaga,False
alipoaga,ag,alipoaga,False
tulipoaga,ag,tulipoaga,False
mlipoaga,ag,mlipoaga,False
walipoaga,ag,walipoaga,False
nijapoaga,ag,nijapoaga,False
ujapoaga,ag,ujapoaga,False
ajapoaga,ag,ajapoaga,False
tujapoaga,ag,tujapoaga,False
mjapoaga,ag,mjapoaga,False
wajapoaga,ag,wajapoaga,False
nisipoaga,ag,nisipoaga,False
usipoaga,ag,usipoaga,False
asipoaga,ag,asipoaga,False
tusipoaga,ag,tusipoaga,False
msipoaga,ag,msipoaga,False
wasipoaga,ag,wasipoaga,False
nikiaga,ag,nikiaga,False
ukiaga,ag,ukiaga,False
akiaga,ag,akiaga,False
tukiaga,ag,tukiaga,False
mkiaga,ag,mkiaga,False
niliyaaga,ag,niliyaaga,False
uliyaaga,ag,uliyaaga,False
aliyaaga,ag,aliyaaga,False
tuliyaaga,ag,tuliyaaga,False
mliyaaga,ag,mliyaaga,False
waliyaaga,ag,waliyaaga,False
wakiaga,ag,wakiaga,False
nilichoaga,ag,nilichoaga,False
ulichoaga,ag,ulichoaga,False
alichoaga,ag,alichoaga,False
tulichoaga,ag,tulichoaga,False
mlichoaga,ag,mlichoaga,False
walichoaga,ag,walichoaga,False
yalioaga,ag,yalioaga,False
kilichoaga,ag,kilichoaga,False
zilizoaga,ag,zilizoaga,False
inaaga,ag,inaaga,False
itaaga,ag,itaaga,False
iliaga,ag,iliaga,False
imeaga,ag,imeaga,False
ingeaga,ag,ingeaga,False
ingaliaga,ag,ingaliaga,False
iliyeaga,ag,iliyeaga,False
ilioaga,ag,ilioaga,False
iliyoaga,ag,iliyoaga,False
ilipoaga,ag,ilipoaga,False
ikiaga,ag,ikiaga,False
ilichoaga,ag,ilichoaga,False
zinaaga,ag,zinaaga,False
zitaaga,ag,zitaaga,False
ziliaga,ag,ziliaga,False
zimeaga,ag,zimeaga,False
zingeaga,ag,zingeaga,False
zingaliaga,ag,zingaliaga,False
ziliyeaga,ag,ziliyeaga,False
zilioaga,ag,zilioaga,False
zilipoaga,ag,zilipoaga,False
zikiaga,ag,zikiaga,False
yanaaga,ag,yanaaga,False
yataaga,ag,yataaga,False
yaliaga,ag,yaliaga,False
yameaga,ag,yameaga,False
yangeaga,ag,yangeaga,False
yangaliaga,ag,yangaliaga,False
yaliyeaga,ag,yaliyeaga,False
yaliyoaga,ag,yaliyoaga,False
